,pattern,keyword,concept,origin
413,klimaleugner,"eine kleine Fallstudie ( und unten was zur „ Klimahysterie "" ) : „ Oma ist ne alte Umweltsau "" Zum Jahreswechsel in Absurdistan erlebten wir eine MedienPosse , letztlich über FFF und die Klimadebatte , die Beteiligten : Der ARDVorsitzende und WDRIntendant Tom Buhrow , eine Oma auf'm Motorrad im Hühnerstall , oder wahlweise im SUV beim Überfahren von Opis beim Arztbesuch , ein Kinderchor , der ein Liedchen singt über eine „ Umweltsau "" , die AfD und andere rechtsradikale Klimaleugner , die protestieren und twittern das es nur so kracht , der NRW CDUMinisterpräsident Armin Laschet , und … Redakteure im WDR , solidarische TVAutoren , die Buhrows Rücktritt fordern , der gesamte dt .",person,P2022
403,klimaleugner,"Die SPD könnte auch nur in einer linken Regierung , also GRR , wirklich pro Klima aktiv werden , die neoliberale FDP ist nicht weit von den völligen Klimaleugnern der AfD entfernt , auch in anderen Fragen des Humanismus . .",person,P2022
432,klimaleugner,Ein Gespräch mit Klimaleugner * innen ist sinnvoll und kann dabei ganz schön anstrengend sein .,person,P2022
422,klimaleugner,"Vielmehr handelt es sich um ein Sammelbecken von Klimaleugner * innen , die aktiv gegen Klimaschutzmaßnahmen , Klimatolog * innen und Politiker * innen vorgehen und teils populistische , teils verschwörungstheoretische Ansichten vertreten .",person,P2022
421,klimaleugner,November eröffnete die Historikerin und freie Journalistin Susanne Götze die Fachtagung mit einem Vortrag zu den Netzwerken von Klimaleugner * innen und deren Argumentationen .,person,P2022
454,klimamacher,Mit Rainer Klingholz veröffentlichte er das Buch Wir Klimamacher - Auswege aus dem globalen Treibhaus .,person,P2022
490,klimarealist,"In dieser wird Donald Trump unter den „ Top der Klimarealisten "" aufgeführt .",person,P2022
494,klimaretter,Wir unterstützen die Bus- und Bahnfahrer * innen in ihrem Kampf für bessere Arbeitsbedingungen : Volle Solidarität mit unseren Klimaretter * innen !,person,P2022
495,klimaretter,"Jeder Baum , jeder See , jedes Moor ist ein Klimaretter in diesen Zeiten .",person,P2022
496,klimaretter,"LG an alle fleißigen Klimaretter Armin Es ist zum Verzweifeln , die Wälder sterben oder werden abgebrannt , die Insekten und Tiere sterben , die zunehmenden Unwetter beeinträchtigen unser aller Leben etc .",person,P2022
493,klimaretter,"Wer das Klimapaket als „ Bankrotterklärung "" verurteilt , hat nicht verstanden und will nichts davon wissen , welche gemeine Räson dies Programm leitet und muss sich die Frage gefallen lassen , unter dem Signum des Ungenügendem des Klimapapiers letztlich die Gemeinheiten desselben m i t z u t r a g e n , welche sich allgemein wie folgt charakte- risieren lassen : Sowohl den amtlichen Klimarettern als auch ihren Kritikern , denen die klimapolitischen Maßnahmen nicht weit genug gehen , ist gemeinsam und damit als Skandal festzuhalten , dass sie unisono die Menschen , ob Betroffene / Opfer der kapitalistisch induzierten Klimazerstörung oder deren Betreiber in Gestalt der Verarbeiter fossiler Brennstoffe oder Hersteller / Verkäufer von motorisierten CO2Schleudern oder anderer mit fossilen Stoffen betriebener Gerätschaften wie Heizungen , als Klimaschänder in eine Reihe stellen .",person,P2022
